file_name,label
478bndrgbs.wav,house
cxdlny4rd1.wav,yes
5k53s85k82.wav,house
c2drt4ivmi.wav,yes
ug3yvk1bo8.wav,house
ybywhkts0t.wav,house
emus2yw7r5.wav,four
9d1udjccc3.wav,four
m3hdkcjtr9.wav,yes
14a2kab9t7.wav,house
uriy7wamfb.wav,house
5rar0zjmsu.wav,yes
zoj7kcbzm7.wav,yes
2x58uar0ym.wav,house
6trssvm3qp.wav,yes
qwxy632kfe.wav,house
pzilna9cuj.wav,four
mnn3za8un6.wav,house
39jdswljue.wav,house
eoxnxh3kd7.wav,yes
62gb7g2w47.wav,house
c7qbrhss8a.wav,yes
6kx8yfjja2.wav,yes
ovtdtcxlzh.wav,yes
3z1iainsk8.wav,yes
vy24l8izrm.wav,house
gvkmg4ivx4.wav,yes
7kbuw44k57.wav,house
xdnz2vrd1c.wav,house
mwzxy0349y.wav,yes
9pgkzx5a3v.wav,yes
d7patqqsih.wav,house
fbb1q6yqpf.wav,house
l0ra4majqf.wav,house
4006i49puu.wav,house
5u67ubujlx.wav,house
wc6jh6jwoi.wav,house
txjx9x7lx1.wav,yes
4tpybfs1aw.wav,house
ixb8wuf81o.wav,house
doob2lc9ue.wav,house
apdbzo88s7.wav,yes
y5ruxhy6j8.wav,yes
lq28agzen4.wav,house
kr8pilz7vc.wav,yes
vcgp4w7ptz.wav,yes
cvrnufiqjm.wav,house
fgl33qzc7d.wav,house
s6fmmayted.wav,yes
6xabb6zm7k.wav,house
9mmkzh4l5j.wav,yes
eygl1r77wm.wav,house
qkzaig6w9e.wav,house
c1x9lkqvqm.wav,yes
3kzx7bwo50.wav,house
87iavav50b.wav,house
julxyknho8.wav,four
jgmg7m59lz.wav,yes
twyxwvixv8.wav,house
eh64ikmalh.wav,stop
fhdng8g932.wav,yes
dysura2cdg.wav,house
c7kgrl0jr7.wav,seven
fldcbfuwjf.wav,yes
5h0bt2y3yn.wav,seven
5hnbzhqljp.wav,yes
i9uxj0rk7i.wav,four
9e4qfetpon.wav,four
qfxy2wd754.wav,yes
yvf4zj897p.wav,four
pxjgsjdc66.wav,house
2820acq85w.wav,yes
w2v49qwpby.wav,house
w15zwk8odt.wav,house
elopu8d1iy.wav,yes
53me73jxg8.wav,seven
t3ll4u90ui.wav,house
et67d6200h.wav,seven
u3vksqsld1.wav,house
giasml96hw.wav,seven
oh5m97xgev.wav,four
